Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"Old Man Logan, Vol. 2",45,"Bullseye Returns, Bullseye Returns: Conclusion",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Aug 08, 2018",2018,"Bullseye Returns",,"Bullseye Returns: Conclusion",,3.99,No,,,75960608336704511,,"Juan Ferreyra","Bullseye (Lester / Benjamin Poindexter) | Glob Herman (Robert Herman) | Old Man Logan (James Howlett)",,"Mike Deodato Jr.","Carlos López",,,,,"Ed Brisson | Juan Ferreyra","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",46,"Northern Flight, Part One",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Aug 22, 2018",2018,"Northern Flight",,"Part One",,3.99,No,,,75960608336704611,,"Damian Couceiro","Puck (Eugene Milton Judd) | Shaman (Michael Twoyoungmen) | Snowbird (Narya / Anne McKenzie)","Carlos López","Andrea Sorrentino",,,,,,"Ed Brisson | Damian Couceiro","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",47,"Northern Flight, Conclusion",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Sep 12, 2018",2018,"Northern Flight",,Conclusion,,,No,,,75960608336704711,,"Damian Couceiro","Puck (Eugene Milton Judd) | Shaman (Michael Twoyoungmen) | Guardian (Jim Harper)","Carlos López","Andrea Sorrentino",,,,,,"Ed Brisson | Damian Couceiro","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",49,"King of Nothing, Part Two",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Oct 17, 2018",2018,"King of Nothing",,"Part Two",,,No,,,75960608336704911,,"Ibraim Roberson","Old Man Logan (James Howlett) | Maestro (Bruce Banner)","Carlos López","Andrea Sorrentino",,,,,,"Ed Brisson | Ibraim Roberson","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",50A,"King of Nothing, Conclusion",Super-Heroes,"Regular Andrea Sorrentino Cover","Marvel Comics",,L05a,"Oct 31, 2018",2018,"King of Nothing",,Conclusion,A,,No,,,75960608336705011,,"Ibraim Roberson","Old Man Logan (James Howlett) | Maestro (Bruce Banner)","Carlos López","Andrea Sorrentino",,,,,,"Ed Brisson | Ibraim Roberson","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2",50B,"King of Nothing, King of Nothing: Conclusion",Super-Heroes,"Variant Mike Deodato Jr Final Issue Cover","Marvel Comics",,L05a,"Oct 31, 2018",2018,"King of Nothing",,"King of Nothing: Conclusion",B,,No,,,75960608336705021,,"Ibraim Roberson","Old Man Logan (James Howlett) | Maestro (Bruce Banner)","Carlos López","Mike Deodato Jr.",,,,,,"Ed Brisson | Ibraim Roberson","Jordan D. White | Chris Robinson | Christina Harrington","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson"
"Old Man Logan, Vol. 2 Annual",1B,"Pride & Punishment | Sons of the Patriot",Super-Heroes,"Variant Gerardo Sandoval Cover","Marvel Comics",,L05a,"Sep 05, 2018",2018,,,"Pride & Punishment | Sons of the Patriot",B,4.99,No,,,75960609126300121,,"Simone Di Meo | Hayden Sherman","Old Man Logan (James Howlett) | Punisher (Earth-807128) (Frank Castle)","Dono Sánchez-Almara","Gerardo Sandoval",,,,,,"Ed Brisson | Ryan Cady | Simone Di Meo","Jordan D. White | Chris Robinson","C.B. Cebulski",,,"Cory Petit",,,,,,,"Ed Brisson | Ryan Cady"
"Omega Flight",4,"The Initiative - Alpha to Omega, Alpha to Omega, pt 4","Action | Super-Heroes",,"Marvel Comics","Sep 2007",L05a,"Jul 11, 2007",2007,"Alpha to Omega",,"Alpha to Omega, pt 4",,2.99,No,,,75960606058000411,2007,"Scott Kolins","U.S. Agent (John Walker) | Wrecker (Dirk Garthwaite) | Sasquatch (Walter Langkowski)","Brian Reber","Scott Kolins","Brian Reber",,,,,"Michael Avon Oeming | Scott Kolins","John Barber | Andy Schmidt","Joe Quesada",,,"Cory Petit",,,,,,,"Michael Avon Oeming"
"The Omega Men, Vol. 1",11,"Of Vice And Virtue","Adventure | Science Fiction","1st Printing","DC Comics","Feb 1984",L13,"Feb 1984",1984,,,"Of Vice And Virtue",,,No,,,,1984,,"Tigorr (Taghurrhu) | Blackfire (Komand'r) | Broot (Charis-Nar)","Adrienne Roy",,,"Mike DeCarlo",,"Tom Smith",,"Roger Slifer | Tod Smith | Mike DeCarlo","Marv Wolfman",,"Mike DeCarlo",,"John Costanza",,"Tod Smith",,,,,"Roger Slifer"
"Operation Knightstrike",1A,,Adventure,"Rob Liefeld Variant Cover","Image Comics","May 1995",L15,"May 1995",1995,,,,A,,No,,,,1995,,"Chapel (Bruce Stinson) | Battlestone (John Stone) | Dutch (Jake Holland)","Gloria Vasquez","Rob Liefeld",,,,,,"Brian Witten | Richard Horie | Jaime Mendoza",,,"Jaime Mendoza",,"Keith Hathaway",,"Richard Horie",,,"Extreme Color",,"Brian Witten"
