Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"'Mazing Man",1,"""Y'know, after a long hard day...""",Comedy,"1st Printing","DC Comics","Jan 1986",L10,"Jan 1986",1986,,,"""Y'know, after a long hard day...""",,,No,,,,1986,,"'Mazing Man (Sigfried Horatio Hunch III) | Guido | Brenda Valentine","Nansi Hoolahan | Tom Ziuko",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"'Mazing Man",3,"Doing What Married People Do",Comedy,"1st Printing","DC Comics","Mar 1986",L10,"Mar 1986",1986,,,"Doing What Married People Do",,,No,,,,1986,,"Guido | 'Mazing Man (Sigfried Horatio Hunch III) | Brenda Valentine","Nansi Hoolahan",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"'Mazing Man",8,"Over The River And Through The Woods...",Comedy,"1st Printing","DC Comics","Aug 1986",L10,"Aug 1986",1986,,,"Over The River And Through The Woods...",,,No,,,,1986,,"Guido | 'Mazing Man (Sigfried Horatio Hunch III) | Brenda Valentine","Tom Ziuko",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"The 'Nam",2,Dustoff,"Action | Adventure | War","1st Printing","Marvel Comics","Jan 1987",L01,"Jan 1987",1987,,,Dustoff,,,No,,,071486024351,1987,,,,,,,,,,,,,,,,,,,,,,
"The 'Nam",67,"Noon Black As Night","Action | Adventure | War",,"Marvel Comics","Apr 1992",L01,"Apr 1992",1992,,,"Noon Black As Night",,1.75,No,,,,1992,,,,,,,,,,,,,,,,,,,,,,
"The 'Nam",80,"Tet: The Beginning of the End, Part 2: House To House","Action | Adventure | War","1st Printing","Marvel Comics","May 1993",L01,"May 1993",1993,"Tet: The Beginning of the End",,"Part 2: House To House",,,No,,,75960604080308011,1993,,,,,,,,,,,,,,,,,,,,,,
1963,1,"Mayhem on Mystery Mile!",,"1st Printing","Image Comics","Apr 1993",L15,,,,,"Mayhem on Mystery Mile!",,,No,,,,1993,"Rick Veitch | Melinda Gebbie","Planet (Biff Baker) | Kid Dynamo (Tommy Baker) | Neon Queen (Jeannie Morrow)","Rick Veitch",,"Rick Veitch","Dave Gibbons",,"Rick Veitch",,"Alan Moore | Rick Veitch | Melinda Gebbie",,,"Dave Gibbons",,"Don Simpson",,"Rick Veitch",,,,,"Alan Moore"
1963,3,"Tales of the Uncanny: Double-Deal in Dallas!","Action | Adventure | Comedy | Super-Heroes","1st Printing","Image Comics","Jun 1993",L15,"Jun 1993",1993,,,"Tales of the Uncanny: Double-Deal in Dallas!",,1.95,No,,,,1993,"Don Simpson | Melinda Gebbie | Stephen R. Bissette","Hypernaut | Ultimate Special Agent | Red Brain","Rick Veitch | Anthony Tollin",,,"Don Simpson",,"Rick Veitch",,"Alan Moore | Don Simpson | Melinda Gebbie",,,"Don Simpson | Chester Brown",,"Don Simpson | John E. Workman Jr.",,"Rick Veitch | Stephen R. Bissette",,,,,"Alan Moore"
"2099 Unlimited",1A,"Nothing Ever Changes!!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1993",L01,"May 05, 1993",1993,,,"Nothing Ever Changes!!",A,3.95,No,,,75960602354700111,1993,"Dwayne Turner","Spider-Man (2099) (Miguel O'Hara) | Hulk (2099) (John Eisenhart) | Keisha","Tom Smith | Marie Severin","Chris Wozniak",,,,,,"Gerard Jones | Evan Skolnick | Dwayne Turner","Joey Cavalieri",,"Chris Ivy",,"Steve Dutro | Richard Starkings",,"Chris Wozniak",,,,,"Gerard Jones | Evan Skolnick"
"4 Kids Walk Into A Bank",1A,"Chapter One: As Far Back As Lunchtime I Always Wanted To Be a Gangster.",Crime,,"Black Mask Studios","Apr 30, 2016","BC RAW 01","Apr 27, 2016",2016,,,"Chapter One: As Far Back As Lunchtime I Always Wanted To Be a Gangster.",A,3.99,No,,,045778022953,2016,"Tyler Boss",Paige,,"Amancay Nahuelpan | Tyler Boss",,,,,,"Matthew Rosenberg | Tyler Boss",,,,,,,,,,,,"Matthew Rosenberg"
"4 Kids Walk Into A Bank",2,"Chapter Two",Crime,,"Black Mask Studios","Jun 30, 2016",L18,"Jun 29, 2016",2016,,,"Chapter Two",,3.99,No,,,045778022960,2016,"Tyler Boss",,,,,,,,,"Matthew Rosenberg | Tyler Boss",,,,,"Thomas Mauer",,,,,,,"Matthew Rosenberg"
"4 Kids Walk Into A Bank",3,"Chapter Three: Leave the Gum. Take the Cannoli.",Crime,,"Black Mask Studios","Dec 31, 2016",L18,"Dec 21, 2016",2016,,,"Chapter Three: Leave the Gum. Take the Cannoli.",,3.99,No,,,045778022977,2016,,,"Clare Dezutti","Tyler Boss",,,,,,"Matthew Rosenberg",,,,,"Thomas Mauer",,,,,,,"Matthew Rosenberg"
52,1A,"52 - Golden Lads & Lasses Must...","Action | Adventure | Anthology | Drama | Super-Heroes",,"DC Comics","Jul 2006",L10,"May 10, 2006",2006,,,"Golden Lads & Lasses Must...",A,2.50,No,,,76194125243800111,2006,,"Superman (Kal-El / Clark Kent) | Lois Lane | Green Lantern (Hal Jordan)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Ruy José","Keith Giffen","Nick J. Napolitano",,"Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,2,"52 - Looking Back At Tomorrow / History of the Dcu Part 1","Action | Adventure | Anthology | Drama | Super-Heroes",,"DC Comics","Jul 2006",L10,"May 17, 2006",2006,,,"Looking Back At Tomorrow / History of the Dcu Part 1",,2.50,No,,,76194125243800211,2006,,"Batman (Bruce Wayne) | Superman (Kal-El / Clark Kent) | Green Lantern (Hal Jordan)","Jeromy Cox | Alex Sinclair | Guy Major","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens","Stephen Wacker | Ivan Cohen | Jeanine Schaefer | Eddie Berganza","Dan DiDio","Jack Jadson | Art Thibert","Keith Giffen","Nick J. Napolitano | Travis Lanham",,"Dan Jurgens | Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens | Grant Morrison | Mark Waid"
52,3,"52 - New World Order","Action | Adventure | Super-Heroes","1st Printing","DC Comics","May 2006",L10,"Mar 2006",2006,,,"New World Order",,,No,,,76194125243800311,2006,,"Batman (Bruce Wayne) | Lois Lane | Green Lantern (Hal Jordan)","Guy Major | Alex Sinclair | Jeromy Cox","J.G. Jones","Alex Sinclair",,,,,"Dan Jurgens | Greg Rucka | Geoff Johns","Stephen Wacker | Ivan Cohen | Eddie Berganza | Jeanine Schaefer",,"Ruy José | Art Thibert",,"Pat Brosseau | Nick J. Napolitano",,"Keith Giffen | Dan Jurgens | Joe Bennett",,,,,"Dan Jurgens | Greg Rucka | Geoff Johns | Grant Morrison | Mark Waid"
52,4,"52 - Dances With Monsters / The History of the DCU pt 3","Action | Adventure | Super-Heroes","1st Printing","DC Comics","May 2006",L10,"May 31, 2006",2006,,,"Dances With Monsters / The History of the DCU pt 3",,2.50,No,,,76194125243800411,2006,,"Batman (Bruce Wayne) | Martian Manhunter (J'onn J'onzz) | Nightwing (Richard 'Dick' Grayson)","Guy Major | Alex Sinclair | Jeromy Cox","J.G. Jones","Alex Sinclair",,,,,"Dan Jurgens | Grant Morrison | Greg Rucka","Stephen Wacker | Ivan Cohen | Eddie Berganza | Jeanine Schaefer",,"Art Thibert | Jack Jadson",,"Rob Leigh | Nick J. Napolitano",,"Keith Giffen | Dan Jurgens | Joe Bennett",,,,,"Dan Jurgens | Grant Morrison | Greg Rucka | Geoff Johns | Mark Waid"
52,5,"52 - Stars in Their Courses / History of the Dcu Part 4","Action | Adventure | Anthology | Drama | Science Fiction | Super-Heroes","First Printing","DC Comics","Jun 2006",L10,"Jun 07, 2006",2006,,,"Stars in Their Courses / History of the Dcu Part 4",,2.50,No,,,76194125243800511,2006,,"Batman (Bruce Wayne) | Superman (Kal-El / Clark Kent) | Wonder Woman (Diana Prince)","Alex Sinclair | Jeromy Cox | Guy Major","J.G. Jones","Alex Sinclair",,,,,"Geoff Johns | Dan Jurgens | Grant Morrison","Eddie Berganza | Jeanine Schaefer | Stephen Wacker | Ivan Cohen","Dan DiDio","Jimmy Palmiotti | Norm Rapmund","Keith Giffen","Rob Leigh | Phil Balsman",,"Chris Batista | Dan Jurgens",,,,,"Geoff Johns | Dan Jurgens | Grant Morrison | Mark Waid | Greg Rucka"
52,6,"52 - China Syndrome / History of the Dcu Part 5","Action | Adventure | Super-Heroes","First Printing","DC Comics","Jun 2006",L10,"Jun 14, 2006",2006,,,"China Syndrome / History of the Dcu Part 5",,2.50,No,,,76194125243800611,2006,,"Batman (Bruce Wayne) | Superman (Kal-El / Clark Kent) | Green Lantern (Hal Jordan)","Jeromy Cox | Alex Sinclair | Guy Major","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens","Stephen Wacker | Ivan Cohen | Jeanine Schaefer | Eddie Berganza","Dan DiDio","Andy Lanning | Ruy José","Keith Giffen","Nick J. Napolitano",,"Dan Jurgens | Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens | Mark Waid | Grant Morrison"
52,7,"52 - Going Down / the History of the Dcu Part 6","Action | Adventure | Comedy | Crime | Fiction | Science Fiction | Super-Heroes","First Printing","DC Comics","Jun 2006",L10,"Jun 21, 2006",2006,,,"Going Down / the History of the Dcu Part 6",,2.50,No,,,76194125243800711,2006,"Draxhall Jump Studios","Superman (Kal-El / Clark Kent) | Lois Lane | Flash (Wally West)","Jeromy Cox | Guy Major | Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Dan Jurgens | Grant Morrison | Greg Rucka","Stephen Wacker | Jeanine Schaefer | Ivan Cohen | Eddie Berganza",,"Norm Rapmund | Draxhall Jump Studios",,"Phil Balsman | Travis Lanham | Rob Leigh",,"Keith Giffen | Dan Jurgens | Ken Lashley",,,,,"Dan Jurgens | Grant Morrison | Greg Rucka | Geoff Johns | Mark Waid"
52,8,"52 - Thief / History of the DCU Part 7","Action | Adventure | Science Fiction | Super-Heroes","1st Printing","DC Comics","Jun 2006",L10,"Jun 28, 2006",2006,,,"Thief / History of the DCU Part 7",,,No,,,76194125243800811,2006,,"Batman (Bruce Wayne) | Superman (Kal-El / Clark Kent) | Wonder Woman (Diana Prince)","Jeromy Cox | Alex Sinclair | Guy Major","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens","Stephen Wacker | Ivan Cohen | Jeanine Schaefer | Eddie Berganza","Dan DiDio","Andy Lanning | Rob Stull","Keith Giffen","Nick J. Napolitano | Travis Lanham",,"Keith Giffen | Eddy Barrows | Dan Jurgens",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens | Grant Morrison | Mark Waid"
52,9,"Dream of America / The History of The DCU Part 8","Action | Adventure | Science Fiction | Super-Heroes","1st Printing","DC Comics","Jul 2006",TEMP,"Jul 05, 2006",2006,,,"Dream of America / The History of The DCU Part 8",,2.50,No,,,76194125243800911,2006,,"Batman (Bruce Wayne) | Wonder Woman (Diana Prince) | Flash (Barry Allen)","Guy Major | David Baron | Jeromy Cox","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Eddie Berganza | Stephen Wacker | Jeanine Schaefer | Ivan Cohen",,"Tom Nguyen | Andy Lanning",,"Jared K. Fletcher | Nick J. Napolitano",,"Keith Giffen | Shawn Moll | Dan Jurgens",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison | Dan Jurgens"
52,10,"Stop The Press / The History of The DCU Part 9","Action | Adventure | Super-Heroes","1st Printing","DC Comics","Jul 2006",L10,"Jul 12, 2006",2006,,,"Stop The Press / The History of The DCU Part 9",,,No,,,76194125243801011,2006,,"Batman (Bruce Wayne) | Superman (Kal-El / Clark Kent) | Wonder Woman (Diana Prince)","Alex Sinclair | Jeromy Cox | Guy Major","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens","Jann Jones | Stephen Wacker | Harvey Richards | Ivan Cohen | Jeanine Schaefer | Eddie Berganza",,"Jimmy Palmiotti | Jack Jadson | Andy Lanning",,"Jared K. Fletcher | Nick J. Napolitano",,"Chris Batista | Dan Jurgens",,,,,"Greg Rucka | Geoff Johns | Dan Jurgens | Mark Waid | Grant Morrison"
52,11,"Untitled / History of the Dcu Part 10","Action | Adventure | Super-Heroes",,"DC Comics","Jul 2006",L10,"Jul 19, 2006",2006,,,"Untitled / History of the Dcu Part 10",,2.50,No,,,76194125243801111,2006,,"Superman (Kal-El / Clark Kent) | Wonder Woman (Diana Prince) | Martian Manhunter (J'onn J'onzz)","Guy Major | Alex Sinclair | Jeromy Cox","J.G. Jones","Alex Sinclair",,,,,"Grant Morrison | Greg Rucka | Geoff Johns","Stephen Wacker | Ivan Cohen | Jeanine Schaefer | Eddie Berganza","Dan DiDio","Andy Lanning | Todd Nauck | Jack Jadson | Marlo Alquiza","Keith Giffen","Nick J. Napolitano | Phil Balsman",,"Dan Jurgens | Todd Nauck | Joe Bennett",,,,,"Grant Morrison | Greg Rucka | Geoff Johns | Mark Waid | Dan Jurgens"
52,12,"52 - Mighty / The Origin of Wonder Woman","Action | Adventure | Super-Heroes","1st Printing","DC Comics","Jul 2006",L10,"Jul 26, 2006",2006,,,"Mighty / The Origin of Wonder Woman",,,No,,,76194125243801211,2006,"Adam Hughes","Wonder Woman (Diana Prince) | Elongated Man (Ralph Dibny) | Captain Marvel (Billy Batson)","Laura DePuy Martin | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Rob Stull","Keith Giffen","Travis Lanham | Nick J. Napolitano",,"Eddy Barrows",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,13,"52 - Haystack / The Origin of Elongated Man","Action | Adventure | Anthology | Drama | Super-Heroes","1st Printing","DC Comics","Aug 2006",L10,"Aug 02, 2006",2006,,,"Haystack / The Origin of Elongated Man",,,No,,,76194125243801311,2006,"Kevin Nowlan","Green Lantern (Hal Jordan) | Green Arrow (Oliver Queen) | Elongated Man (Ralph Dibny)","Alex Sinclair | Kevin Nowlan","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Harvey Richards | Stephen Wacker","Dan DiDio","Marlo Alquiza","Keith Giffen","Nick J. Napolitano",,"Todd Nauck",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,14,"52 - Sand and Rust / The Origin of Metamorpho the Element Man","Action | Adventure | Anthology | Crime | Drama | Science Fiction | Super-Heroes","1st Printing","DC Comics","Aug 2006",L10,"Aug 09, 2006",2006,,,"Sand and Rust / The Origin of Metamorpho the Element Man",,,No,,,76194125243801411,2006,"Eric Powell","Steel (John Henry Irons) | Metamorpho (Rex Mason) | Renee Montoya","Alex Sinclair | Trish Mulvihill","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Harvey Richards | Stephen Wacker","Dan DiDio","Art Thibert","Keith Giffen","Travis Lanham | Nick J. Napolitano",,"Dale Eaglesham",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,15,"52 - Outshined / the Origin of Steel","Action | Adventure | Anthology | Drama | Super-Heroes",,"DC Comics","Aug 2006",L10,"Aug 16, 2006",2006,,,"Outshined / the Origin of Steel",,2.50,No,,,76194125243801511,2006,"Jon Bogdanove","Superman (Kal-El / Clark Kent) | Booster Gold (Michael Jon Carter) | Steel (John Henry Irons)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Tom Nguyen","Keith Giffen","Jared K. Fletcher | Nick J. Napolitano",,"Shawn Moll",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,16,"52 - Uhebbuki / the Origin of Black Adam","Action | Adventure | Anthology | Drama | Science Fiction | Super-Heroes",,"DC Comics","Aug 2006",L10,"Aug 23, 2006",2006,,,"Uhebbuki / the Origin of Black Adam",,2.50,No,,,76194125243801611,2006,"J.G. Jones","Captain Marvel (Billy Batson) | Renee Montoya | Adam Strange","Alex Sinclair | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Harvey Richards | Stephen Wacker","Dan DiDio","Ruy José","Keith Giffen","Pat Brosseau | Nick J. Napolitano",,"Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,17,"52 - Last of the Czarnians / the Origin of Lobo","Action | Adventure | Anthology | Drama | Science Fiction | Super-Heroes",,"DC Comics","Aug 2006",L10,"Aug 30, 2006",2006,,,"Last of the Czarnians / the Origin of Lobo",,2.50,No,,,76194125243801711,2006,,"Lex Luthor | Lobo | Adam Strange","Tanya Horie | David Baron | Richard Horie","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Ruy José | Jack Jadson","Keith Giffen","Phil Balsman | Nick J. Napolitano",,"Keith Giffen | Chris Batista",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,18,"52 - Dismantled / the Origin of the Question","Action | Adventure | Anthology | Drama | Fantasy | Super-Heroes",,"DC Comics","Sep 2006",L10,"Sep 06, 2006",2006,,,"Dismantled / the Origin of the Question",,2.50,No,,,76194125243801811,2006,"Joe Bennett","Superman (Kal-El / Clark Kent) | Zatanna (Zatanna Zatara) | Elongated Man (Ralph Dibny)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Rob Stull","Keith Giffen","Travis Lanham | Nick J. Napolitano",,"Eddy Barrows",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,19,"52 - History Repeats / The Origin of Animal Man","Action | Adventure | Anthology | Drama | Science Fiction | Super-Heroes","1st Printing","DC Comics","Sep 2006",L10,"Sep 13, 2006",2006,,,"History Repeats / The Origin of Animal Man",,,No,,,76194125243801911,2006,"Brian Bolland","Booster Gold (Michael Jon Carter) | Wonder Girl (Cassandra 'Cassie' Sandsmark) | Lobo","Alex Sinclair | Matt Hollingsworth","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Drew Geraci","Keith Giffen","Pat Brosseau",,"Patrick Olliffe",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,20,"52 - God is Fragged / The Origin of Adam Strange","Action | Adventure | Anthology | Drama | Science Fiction | Super-Heroes","1st Printing","DC Comics","Sep 2006",L10,"Sep 20, 2006",2006,,,"God is Fragged / The Origin of Adam Strange",,,No,,,76194125243802011,2006,"Kevin Nowlan","Starfire (Koriand'r / Kory Anders) | Booster Gold (Michael Jon Carter) | Steel (John Henry Irons)","Alex Sinclair | Kevin Nowlan | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Ruy José","Keith Giffen","Travis Lanham",,"Chris Batista",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,21,"52 - Teambuilding Exercises","Action | Adventure | Anthology | Drama | Fantasy | Super-Heroes",,"DC Comics","Sep 2006",L10,"Sep 27, 2006",2006,,,"Teambuilding Exercises",,2.50,No,,,76194125243802111,2006,,"Lex Luthor | Raven (Rachel Roth) | Steel (John Henry Irons)","David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Jack Jadson","Keith Giffen","Travis Lanham",,"Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,22,"52 - Burial Ground / the Origin of Green Lantern","Action | Adventure | Super-Heroes",,"DC Comics","Oct 2006",L10,"Oct 04, 2006",2006,,,"Burial Ground / the Origin of Green Lantern",,2.50,No,,,76194125243802211,2006,,"Green Lantern (Hal Jordan) | Lex Luthor | Green Lantern (John Stewart)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Rob Stull | Oclair Albert","Keith Giffen","Ken Lopez",,"Ivan Reis | Eddy Barrows",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,23,"52 - The Island of Professor Morrow / The Origin of Wildcat","Action | Adventure | Super-Heroes","1st Printing","DC Comics","Oct 2006",L10,"Oct 11, 2006",2006,,,"The Island of Professor Morrow / The Origin of Wildcat",,,No,,,76194125243802311,2006,,"Batman (Bruce Wayne) | Flash (Jay Garrick) | Green Lantern (Alan Scott)","David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Ray Snyder","Keith Giffen","Travis Lanham",,"Drew Johnson",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,24,"52 - Just Imagine / the Origin of Booster Gold","Action | Adventure | Fantasy | Super-Heroes",,"DC Comics","Oct 2006",L10,"Oct 18, 2006",2006,,,"Just Imagine / the Origin of Booster Gold",,2.50,No,,,76194125243802411,2006,,"Martian Manhunter (J'onn J'onzz) | Green Arrow (Oliver Queen) | Booster Gold (Michael Jon Carter)","Alex Sinclair | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker","Dan DiDio","Andy Lanning","Keith Giffen","Pat Brosseau",,"Phil Jiménez | Dan Jurgens",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,25,"52 - Liminal Times / the Origin of Nightwing","Action | Adventure | Anthology | Drama | Fantasy | Super-Heroes",,"DC Comics","Oct 2006",L10,"Oct 25, 2006",2006,,,"Liminal Times / the Origin of Nightwing",,2.50,No,,,76194125243802511,2006,"George Pérez","Batman (Bruce Wayne) | Green Lantern (Alan Scott) | Elongated Man (Ralph Dibny)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Grant Morrison","Stephen Wacker | Harvey Richards | Jeanine Schaefer","Dan DiDio","Andy Lanning | Art Thibert | Ruy José | Drew Geraci","Keith Giffen","Phil Balsman",,"Dale Eaglesham | Phil Jiménez | Patrick Olliffe | Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Grant Morrison | Mark Waid"
52,26,"52 - Halfway House / the Origin of Hawkman And Hawkgirl","Action | Adventure | Super-Heroes",,"DC Comics","Nov 2006",L10,"Nov 01, 2006",2006,,,"Halfway House / the Origin of Hawkman And Hawkgirl",,2.50,No,,,76194125243802611,2006,,"Lex Luthor | Hawkman (Carter Hall) | Steel (John Henry Irons)","Alex Sinclair | Pete Pantazis","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker",,"Ruy José | Drew Geraci","Keith Giffen","Pat Brosseau",,"Joe Bennett | Patrick Olliffe",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,27,"The Past Best Hope / the Origin of Black Canary","Action | Adventure | Fantasy | Super-Heroes",,"DC Comics","Nov 2006",L10,"Nov 08, 2006",2006,,,"The Past Best Hope / the Origin of Black Canary",,2.50,No,,,76194125243802711,2006,"Howard Chaykin","Green Lantern (Alan Scott) | Black Canary (Dinah Laurel Lance) | Elongated Man (Ralph Dibny)","Pete Pantazis","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Grant Morrison","Michael Siglain | Stephen Wacker","Dan DiDio","Ruy José | Nelson DeCastro | Rodney Ramos | Mariah Benes | Prentis Rollins","Keith Giffen","Pat Brosseau | Nick J. Napolitano",,"Shawn Moll",,,,,"Greg Rucka | Geoff Johns | Grant Morrison | Mark Waid"
52,28,"Beyond the Black Stump / the Origin of Catman","Action | Adventure | Science Fiction | Super-Heroes",,"DC Comics","Nov 2006",L10,"Nov 15, 2006",2006,,,"Beyond the Black Stump / the Origin of Catman",,2.50,No,,,76194125243802811,2006,,"Green Arrow (Oliver Queen) | Deadshot (Floyd Lawton) | Lobo","Alex Sinclair | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Grant Morrison","Michael Siglain | Stephen Wacker","Dan DiDio","Jack Jadson | Ruy José | Art Thibert | Rodney Ramos","Keith Giffen","Rob Leigh",,"Dale Eaglesham | Drew Johnson",,,,,"Greg Rucka | Geoff Johns | Grant Morrison | Mark Waid"
52,29,"52 - Name Calling","Action | Adventure | Super-Heroes",,"DC Comics","Nov 2006",L10,"Nov 22, 2006",2006,,,"Name Calling",,2.50,No,,,76194125243802911,2006,,"Flash (Jay Garrick) | Green Lantern (Alan Scott) | Steel (John Henry Irons)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker | Michael Siglain","Dan DiDio","Jack Jadson","Keith Giffen","Jared K. Fletcher",,"Chris Batista",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,30,"Dark Knight Down / the Origin of the Metal Men","Action | Adventure | Super-Heroes",,"DC Comics","Nov 2006",L10,"Nov 29, 2006",2006,,,"Dark Knight Down / the Origin of the Metal Men",,2.50,No,,,76194125243803011,2006,"Duncan Rouleau","Batman (Bruce Wayne) | Alfred Pennyworth | Joker","Alex Sinclair | David Baron","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker | Michael Siglain","Dan DiDio","Ruy José | Joe Bennett","Keith Giffen","Phil Balsman",,"Joe Bennett",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
52,31,"52 - Human Resources / the Origin of Robin","Action | Adventure | Fantasy | Science Fiction | Super-Heroes",,"DC Comics","Dec 2006",L10,"Dec 06, 2006",2006,,,"Human Resources / the Origin of Robin",,2.50,No,,,76194125243803111,2006,"Freddie Williams II","Batman (Bruce Wayne) | Robin (Tim Drake) | Starfire (Koriand'r / Kory Anders)","Alex Sinclair","J.G. Jones","Alex Sinclair",,,,,"Greg Rucka | Geoff Johns | Mark Waid","Stephen Wacker | Michael Siglain","Dan DiDio","Dan Green | Rodney Ramos | Dave Meikis","Keith Giffen","Jared K. Fletcher",,"Chris Batista",,,,,"Greg Rucka | Geoff Johns | Mark Waid | Grant Morrison"
